"Target User","Name of Agentic Application / Chat Interface","Agent Name","Agent (Autonomous / Goal-Oriented Function)","Tools / Agents (Tech Components)","Data Required","Agentic Capabilities (from image)"
"Financial Advisor","Customer 360 – Profiling Agent","Customer Profiling Agent","Autonomously consolidates and enriches client data from multiple systems to build a unified customer profile with behavioral insights.","Internal API Agent, Redshift, Athena, SharePoint, Microsoft Teams, FAST API MCP Server","Customer demographic data, policy holdings, claims, CRM data, financial transactions","Contextual Awareness, Autonomous Decision-Making"
"Financial Advisor","Customer 360 – Next Best Action Recommendation Agent","Next Best Action Agent","Analyzes client behavior and portfolio trends to proactively recommend optimal next actions (renewal, upgrade, coverage adjustment).","Redshift, Athena, Internal API Agent, AWS Service, FAST API MCP Server, M365 Connectivity","Customer engagement history, product data, transaction timelines, advisor activity logs","Goal-Oriented Behavior, Proactive Engagement, Autonomous Decision-Making"
"Financial Advisor","Customer 360 – Cross-Sell & Upsell Agent","Cross-Sell & Upsell Agent","Identifies relevant cross-sell or bundle opportunities (e.g., motor + travel + life) and generates personalized offer messages autonomously.","Redshift, Athena, External API Agent, Microsoft Teams, SharePoint, FAST API MCP Server","Customer portfolio, product catalog, historical purchase data, campaign performance","Proactive Engagement, Goal-Oriented Behavior, Contextual Awareness"
"Financial Advisor","Regulatory Compliance Copilot","Regulatory Compliance Agent","Continuously monitors new MAS circulars, compares with advisory notes, and proactively flags compliance gaps","ServiceNow, JIRA and Confluence, SharePoint, MCP Servers, M365 Connectivity","Advisory documents, MAS rules, compliance logs","Proactive Engagement, Goal-Oriented Behavior, Contextual Awareness"
"Financial Advisor","Market News Impact Advisor","Market News Agent","Fetches breaking news, assesses portfolio impact, and alerts adviser with recommended client communication","Web Scraping, Web Browsing, External API Agent, FAST API MCP Server","News feeds, product mapping, portfolio data","Autonomous Decision-Making, Contextual Awareness, Proactive Engagement"
"Underwriting Department","Underwriting Decision Agent","Underwriting Decision Agent","Collects applicant data, evaluates risks, and autonomously recommends premium tiers or approvals","Internal API Agent, External API Agent, Redshift, Athena, AWS Service","Applicant data, vehicle data, claim history, actuarial models","Autonomous Decision-Making, Goal-Oriented Behavior"
"Underwriting Department","EV Battery Risk Agent","EV Battery Risk Agent","Analyzes EV telemetry to dynamically adjust underwriting recommendations based on battery health trends","External API Agent, AWS Service, FAST API MCP Server","EV telemetry, OEM API, battery diagnostics","Contextual Awareness, Autonomous Decision-Making"
"Claims Department","FNOL (First Notice of Loss) Triage Agent","FNOL Triage Agent","Interprets incident data, classifies claim severity, routes to right handler, and triggers next actions autonomously","Microsoft Teams, ServiceNow, Internal API Agent, MCP Servers","Claim submissions, images, policy data","Autonomous Decision-Making, Goal-Oriented Behavior, Contextual Awareness"
"Claims Department","Fraud Detection Agent","Fraud Detection Agent","Monitors real-time claims, detects anomalies, and initiates fraud investigation workflows automatically","Redshift, Athena, AWS Service, Internal API Agent","Claims dataset, payout history, third-party data","Autonomous Decision-Making, Proactive Engagement"
"Operations / Compliance","Knowledge Curator Agent","Knowledge Curator Agent","Continuously scrapes new MAS circulars and internal SOPs, summarizes insights, and updates adviser knowledge base","Web Scraping, JIRA and Confluence, MCP Servers, M365 Connectivity","MAS circulars, internal SOPs, policy docs","Goal-Oriented Behavior, Contextual Awareness, Proactive Engagement"
"Compliance / Audit","Audit Readiness Agent","Audit Readiness Agent","Aggregates evidence from multiple systems, checks for missing data, and autonomously generates audit packs","SharePoint, ServiceNow, JIRA, FAST API MCP Server","CRM logs, policy and claim documents","Autonomous Decision-Making, Goal-Oriented Behavior"
"Customer Service","Proactive Customer Concierge","Customer Concierge Agent","Predicts upcoming events (policy expiry, travel start, COE renewal) and engages customer proactively with recommendations","Microsoft Teams, SharePoint, Redshift, Internal API Agent","Customer profiles, policy data, transaction history","Proactive Engagement, Contextual Awareness"
"Marketing Department","Marketing Content Copilot","Marketing Content Agent","Autonomously generates and tests personalized campaign content based on customer segments and engagement data","Redshift, Athena, AWS Service, M365 Connectivity","Customer segmentation, campaign metrics","Goal-Oriented Behavior, Proactive Engagement"
